location,date,alpine_hazard,treeline_hazard,below_treeline_hazard,confidence,highlights,confidence_statement
Cariboos,2017-12-02T23:24:32+00:00,moderate,moderate,low,low,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Recent wind and snow has likely left wind slabs at higher elevations. Observations from this region are limited, so it's critical to supplement this forecast with your own observations.</span></p>",Due to the number and quality of field observations
Northwest Coastal,2017-12-02T23:55:54Z,considerable,moderate,moderate,low,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">The recent storm snow will need time to settle and may be reactive to rider triggers. Storm slab avalanches could step down and trigger deeper layers within the snowpack, initiating large avalanches.</span></p>",Due to the number and quality of field observations
Northwest Inland,2017-12-02T23:42:42Z,moderate,moderate,low,low,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Reactive wind slabs may exist at upper elevations and could step down to deeper weak layers producing large avalanches. Use a conservative approach to terrain selection as the snowpack remains  highly variable in the region.</span></p>",Due to the number and quality of field observations
Sea To Sky,2017-12-02T23:55:19+00:00,moderate,low,low,moderate,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">The lure of powder slopes and sunny skies will be strong on Sunday. Take a cautious approach towards more aggressive terrain - especially steep, wind-affected terrain. </span></p>",Due to the number of field observations
South Coast Inland,2017-12-02T23:14:51+00:00,moderate,low,low,moderate,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">The lure of powder slopes and sunny skies will be strong on Sunday. Take a cautious approach towards more aggressive terrain - especially steep, wind-affected terrain. </span></p>",Due to the number of field observations
South Coast,2017-12-02T23:08:46+00:00,moderate,low,low,moderate,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Heavy snowfall in the North Shore mountains (60-90cm storm snow) will take time to settle and bond to a crust. Carefully assess the snowpack before venturing into more aggressive terrain.</span></p>",Due to the number of field observations
North Columbia,2017-12-02T00:54:14Z,considerable,moderate,low,low,"<p class=""p_CC664AAA""><span class=""s_A8FEC758"">New snow and wind on Friday and overnight is expected to create touchy storm slabs that are reactive to human triggers. Be especially cautious in wind exposed terrain at treeline and above.</span></p>",Due to the number of field observations
South Columbia,2017-12-02T01:00:37+00:00,considerable,moderate,low,low,"<p class=""p_CC664AAA""><span class=""s_A8FEC758"">New snow and wind on Friday and overnight is expected to create touchy storm slabs that are reactive to human triggers. Be especially cautious in wind exposed terrain at treeline and above.</span></p>",Due to the number of field observations
Purcells,2017-12-02T00:32:57Z,moderate,moderate,low,low,"<p class=""p_CC664AAA""><span class=""s_A8FEC758"">Lookout for fresh storm slabs reactive to human triggers in wind exposed terrain at treeline and above.</span></p>",Due to the number of field observations
Kootenay Boundary,2017-12-02T23:35:32Z,moderate,low,low,moderate,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">The lure of powder slopes and sunny skies will be strong as the weather clears. Take a cautious approach towards more aggressive terrain - especially steep, wind-affected terrain. </span></p>",Due to the number of field observations
South Rockies,2017-12-02T23:30:54Z,moderate,moderate,low,low,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Reactive wind slabs may exist at upper elevations and could step down to deeper weak layers possibly triggering a large avalanche. Use a conservative approach and terrain selection as the snowpack remains variable in the region.</span></p>",Due to the number and quality of field observations
Lizard Range and Flathead,2017-12-02T23:18:42+00:00,moderate,moderate,low,low,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">If new snow accumulates to 15 cm or more consider the danger rating to be </span><span class=""s_2823317B"">CONSIDERABLE.</span><span class=""s_AA239A9B""> Storm slabs may be reactive to rider triggers. With limited observations and a variable snowpack use a conservative approach to route selection. </span></p>",Due to the number and quality of field observations
"Kananaskis Country, Alberta Parks",2017-12-02T23:05:21+00:00,moderate,moderate,low,moderate,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">15-20cm of recent snow is available for transport so keep an eye on localized winds making the wind slabs more reactive on Sunday.</span></p>",
location,date,alpine_hazard,treeline_hazard,below_treeline_hazard,confidence,highlights,confidence_statement
Cariboos,2017-12-03T23:33:52+00:00,moderate,moderate,low,moderate,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Evaluate the snow and terrain carefully as there is still limited information from this region. Wind slabs likely exist at higher elevations and buried crusts could produce big avalanches.</span></p>",The weather pattern is stable
Northwest Coastal,2017-12-03T23:57:06+00:00,considerable,considerable,moderate,low,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Warmer temperatures expected in the alpine with a strong temperature inversion by Wednesday. Avalanche hazard will likely increase during this time of change.</span></p>",Due to the number and quality of field observations
Northwest Inland,2017-12-03T23:29:43Z,moderate,moderate,low,low,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Warmer temperatures expected in the alpine by Tuesday with a strong temperature inversion by Wednesday. Avalanche hazard will likely increase during this time of change. </span></p>",Due to the number and quality of field observations
Sea To Sky,2017-12-02T23:55:19+00:00,moderate,low,low,moderate,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">The lure of powder slopes and sunny skies will be strong on Sunday. Take a cautious approach towards more aggressive terrain - especially steep, wind-affected terrain. </span></p>",Due to the number of field observations
South Coast Inland,2017-12-02T23:14:51+00:00,moderate,low,low,moderate,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">The lure of powder slopes and sunny skies will be strong on Sunday. Take a cautious approach towards more aggressive terrain - especially steep, wind-affected terrain. </span></p>",Due to the number of field observations
South Coast,2017-12-03T23:40:46+00:00,moderate,moderate,moderate,moderate,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Don't let your guard down with the sunny weather and fresh snow. Carefully assess the snowpack before venturing into more aggressive terrain.</span></p>",Due to the number of field observations
North Columbia,2017-12-03T00:08:50+00:00,moderate,moderate,low,moderate,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Fresh storm snow will need time to settle and stabilize. Watch for changing snow conditions in wind affected terrain and at higher elevations.</span></p>",Due to the number of field observations
South Columbia,2017-12-03T00:24:15Z,moderate,moderate,low,moderate,"<p class=""p_CC664AAA""><span class=""s_1681A555"">Fresh storm snow will need time to settle and stabilize. Watch for changing snow conditions in wind affected terrain and at higher elevations.</span></p>",Due to the number of field observations
Purcells,2017-12-03T00:45:05+00:00,moderate,moderate,low,moderate,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Snow from recent storms will remain reactive on wind-loaded terrain features.</span></p>",Wind speed and direction is uncertain
Kootenay Boundary,2017-12-02T23:35:32Z,moderate,low,low,moderate,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">The lure of powder slopes and sunny skies will be strong as the weather clears. Take a cautious approach towards more aggressive terrain - especially steep, wind-affected terrain. </span></p>",Due to the number of field observations
South Rockies,2017-12-02T23:30:54Z,moderate,moderate,low,low,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Reactive wind slabs may exist at upper elevations and could step down to deeper weak layers possibly triggering a large avalanche. Use a conservative approach and terrain selection as the snowpack remains variable in the region.</span></p>",Due to the number and quality of field observations
Lizard Range and Flathead,2017-12-02T23:18:42+00:00,moderate,moderate,low,low,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">If new snow accumulates to 15 cm or more consider the danger rating to be </span><span class=""s_2823317B"">CONSIDERABLE.</span><span class=""s_AA239A9B""> Storm slabs may be reactive to rider triggers. With limited observations and a variable snowpack use a conservative approach to route selection. </span></p>",Due to the number and quality of field observations
"Kananaskis Country, Alberta Parks",2017-12-03T23:31:50Z,moderate,moderate,low,high,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">The winds have yet to arrive which seems so rare!&nbsp; Watch for pockets of skier triggerable wind slabs along ridgelines, mainly on N and E aspects.&nbsp; Good skiing in sheltered areas!</span></p>",
location,date,alpine_hazard,treeline_hazard,below_treeline_hazard,confidence,highlights,confidence_statement
Cariboos,2017-12-04T23:15:39+00:00,considerable,moderate,low,moderate,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Fresh wind slabs are likely at higher elevations. Evaluate the snow and terrain carefully as there is still limited information from this region.</span></p>",The weather pattern is stable on Tuesday
Northwest Coastal,2017-12-04T23:44:27Z,high,high,considerable,moderate,"<p class=""p_CC664AAA""><span class=""s_AA239A9B""> Avalanche danger is on an increasing trend. More new snow is the first factor, followed by a bout of sustained warm temperatures that will truly test the snowpack.</span></p>",Forecast snowfall amounts are uncertain
Northwest Inland,2017-12-03T23:29:43Z,moderate,moderate,low,low,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Warmer temperatures expected in the alpine by Tuesday with a strong temperature inversion by Wednesday. Avalanche hazard will likely increase during this time of change. </span></p>",Due to the number and quality of field observations
Sea To Sky,2017-12-04T00:46:49Z,moderate,low,low,moderate,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Don't let your guard down with the sunny weather and fresh snow. Take a cautious approach towards more aggressive terrain - especially steep, wind-affected terrain. </span></p>",Due to the number of field observations
South Coast Inland,2017-12-04T00:01:45Z,moderate,low,low,moderate,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Don't let your guard down with the sunny weather and fresh snow. Take a cautious approach towards more aggressive terrain - especially steep, wind-affected terrain. </span></p>",Due to the number of field observations
South Coast,2017-12-03T23:40:46+00:00,moderate,moderate,moderate,moderate,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Don't let your guard down with the sunny weather and fresh snow. Carefully assess the snowpack before venturing into more aggressive terrain.</span></p>",Due to the number of field observations
North Columbia,2017-12-04T23:46:26Z,considerable,moderate,low,moderate,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Wind slabs are reactive at higher elevations. Pay attention to changes in snow conditions and avoid areas where the snow feels stiff or slabby.</span></p>",Freezing levels are uncertain on Wednesday
South Columbia,2017-12-04T00:13:47Z,moderate,moderate,low,N/A,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Fresh snow with cold weather is offering excellent riding, but it's critical to approach avalanche terrain cautiously because large storm slabs are still possible.</span></p>",N/A
Purcells,2017-12-04T00:32:41+00:00,moderate,low,low,moderate,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Expect wind slabs on a range of aspects as the wind shifts direction this week. </span></p>",Due to the number of field observations
Kootenay Boundary,2017-12-04T00:17:53Z,moderate,low,low,moderate,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">The lure of powder slopes and sunny skies will be strong as the weather clears. Take a cautious approach towards more aggressive terrain - especially steep, wind-affected terrain. </span></p>",Due to the number of field observations
South Rockies,2017-12-04T00:31:48+00:00,moderate,moderate,low,low,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Pockets of reactive wind slab may exist on northeasterly aspects. </span></p>",Due to the number and quality of field observations
Lizard Range and Flathead,2017-12-04T00:17:02Z,moderate,moderate,low,low,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Recent storm snow accumulations are up to 50 cm. Storm slabs may be reactive to rider triggers. With limited observations and a variable snowpack use a conservative approach to route selection and terrain with low consequence.</span></p>",Due to the number and quality of field observations
"Kananaskis Country, Alberta Parks",2017-12-04T23:27:19+00:00,moderate,moderate,low,high,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">The skiing is good right now, but be diligent when evaluating the avalanche problems. Increased northerly winds on Tuesday will create additional wind slabs.</span></p>",
location,date,alpine_hazard,treeline_hazard,below_treeline_hazard,confidence,highlights,confidence_statement
Cariboos,2017-12-04T23:15:39+00:00,considerable,moderate,low,moderate,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Fresh wind slabs are likely at higher elevations. Evaluate the snow and terrain carefully as there is still limited information from this region.</span></p>",The weather pattern is stable on Tuesday
Northwest Coastal,2017-12-05T23:04:20Z,considerable,considerable,moderate,moderate,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Rapid warming will deliver a stress test to the snowpack on Wednesday. Dial back your terrain selection and be keenly aware of overhead hazards.</span></p>",
Northwest Inland,2017-12-05T23:49:37Z,considerable,considerable,low,moderate,"<p class=""p_CC664AAA""><span class=""s_AA239A9B""> Rapid warming will deliver a stress test to the snowpack on Wednesday. Dial back your terrain selection and be keenly aware of overhead hazards.</span></p>",
Sea To Sky,2017-12-05T01:02:51Z,moderate,moderate,moderate,moderate,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Don't let your guard down with the sunny weather and fresh snow. Take a cautious approach towards more aggressive terrain - especially steep, wind-affected terrain. </span></p>",Due to the number of field observations
South Coast Inland,2017-12-05T23:55:30+00:00,moderate,moderate,moderate,moderate,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Don't let your guard down with the sunny weather and fresh snow. Take a cautious approach towards more aggressive terrain - especially steep, wind-affected terrain. </span></p>",Due to the number of field observations
South Coast,2017-12-05T23:27:07+00:00,moderate,moderate,moderate,high,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Warm temperatures and sun cause unstable snow, especially in the afternoon. If the snow is moist or mushy, dial back your terrain selection and avoid cliffs, gullies and steep slopes with trees. </span></p>",The weather pattern is stable
North Columbia,2017-12-04T23:46:26Z,considerable,moderate,low,moderate,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Wind slabs are reactive at higher elevations. Pay attention to changes in snow conditions and avoid areas where the snow feels stiff or slabby.</span></p>",Freezing levels are uncertain on Wednesday
South Columbia,2017-12-05T00:03:43Z,considerable,moderate,low,moderate,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Wind slabs are reactive at higher elevations. Pay attention to changes in snow conditions and avoid areas where the snow feels stiff or slabby.</span></p>",Freezing levels are uncertain on Wednesday
Purcells,2017-12-05T00:27:03Z,moderate,moderate,low,moderate,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Fresh wind slabs are likely at higher elevations. Evaluate the snow and terrain carefully as there is still limited information from this region.</span></p>",Due to the number and quality of field observations
Kootenay Boundary,2017-12-05T00:40:02+00:00,moderate,low,low,moderate,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">The lure of powder slopes and sunny skies will be strong as the weather clears. Take a cautious approach towards more aggressive terrain - especially steep, wind-affected terrain. </span></p>",Freezing levels are uncertain
South Rockies,2017-12-05T00:53:59Z,considerable,moderate,low,moderate,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Lingering wind slab and persistent slab problems are keeping avalanche danger in a holding pattern. Sunshine and warming are set to undermine stability later in the week.</span></p>",
Lizard Range and Flathead,2017-12-05T01:15:46Z,considerable,moderate,low,moderate,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Lingering wind slab problems are keeping avalanche danger in a holding pattern for one more day. Strong sunshine and warming are set to undermine stability later in the week.</span></p>",
"Kananaskis Country, Alberta Parks",2017-12-05T23:00:00Z,moderate,moderate,low,high,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Another day of good skiing.  Wind effect has started to show up near ridge line.  Careful evaluation is recommended here and for cross loaded feature.</span></p>",
location,date,alpine_hazard,treeline_hazard,below_treeline_hazard,confidence,highlights,confidence_statement
Cariboos,2017-12-06T00:23:06+00:00,considerable,moderate,low,low,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Soaring alpine temperatures will test the snowpack this week. Be extra cautious around sun exposed slopes.</span></p>",Due to the number and quality of field observations
Northwest Coastal,2017-12-05T23:04:20Z,considerable,considerable,moderate,moderate,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Rapid warming will deliver a stress test to the snowpack on Wednesday. Dial back your terrain selection and be keenly aware of overhead hazards.</span></p>",
Northwest Inland,2017-12-05T23:49:37Z,considerable,considerable,low,moderate,"<p class=""p_CC664AAA""><span class=""s_AA239A9B""> Rapid warming will deliver a stress test to the snowpack on Wednesday. Dial back your terrain selection and be keenly aware of overhead hazards.</span></p>",
Sea To Sky,2017-12-06T23:35:41+00:00,moderate,moderate,low,high,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Alpine temperatures are sky rocketing! Dial back your terrain choices when the snow gets moist or mushy and avoid cliffs, gullies, and steep slopes with trees.</span></p>",The weather pattern is stable
South Coast Inland,2017-12-06T23:47:25+00:00,moderate,moderate,low,high,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Alpine temperatures are sky rocketing! Dial back your terrain choices when the snow gets moist or mushy and avoid cliffs, gullies, and steep slopes with trees.</span></p>",The weather pattern is stable
South Coast,2017-12-06T23:09:05Z,moderate,moderate,low,high,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Dial back your terrain choices when the snow gets moist or mushy and avoid cliffs, gullies, and steep slopes with trees. </span></p>",The weather pattern is stable
North Columbia,2017-12-06T00:31:59+00:00,considerable,moderate,low,moderate,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Intense warming is on the way and it's tricky to predict how it will impact the snow. Make conservative terrain choices and avoid sun exposed slopes.</span></p>",Freezing levels are uncertain on Wednesday
South Columbia,2017-12-06T00:32:01+00:00,considerable,moderate,low,moderate,"<p class=""p_CC664AAA""><span class=""s_E6FD2046"">Intense warming is on the way and it's tricky to predict how it will impact the snow. Make conservative terrain choices and avoid sun exposed slopes.</span></p>",Freezing levels are uncertain on Wednesday
Purcells,2017-12-06T00:59:58+00:00,considerable,moderate,low,moderate,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">One more day of cool weather before alpine temperatures soar. Watch for wind slabs on Wednesday and avoid slopes getting hit by the sun.</span></p>",Due to the number and quality of field observations
Kootenay Boundary,2017-12-06T00:22:54+00:00,moderate,moderate,moderate,moderate,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">The lure of powder slopes and sunny skies will be strong as the weather clears. Take a cautious approach towards more aggressive terrain - especially steep, wind-affected terrain. </span></p>",Due to the number of field observations
South Rockies,2017-12-06T00:30:38Z,considerable,considerable,low,moderate,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Change is in the air with strong solar effect and the beginning of a warming trend in the forecast. These two factors will begin to undermine stability on Wednesday.</span></p>",Timing or intensity of solar radiation is uncertain
Lizard Range and Flathead,2017-12-06T00:39:08Z,considerable,considerable,low,moderate,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Change is in the air with strong solar effect and the beginning of a warming trend in the forecast. These two factors will begin to undermine stability on Wednesday.</span></p>",Timing or intensity of solar radiation is uncertain
"Kananaskis Country, Alberta Parks",2017-12-06T23:00:00Z,considerable,considerable,moderate,high,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">We are facing another warm spell tomorrow through Saturday. Snow stability is directly related to temperature. The danger ratings may change drastically and with little notice if the forecast holds true. </span></p>",
location,date,alpine_hazard,treeline_hazard,below_treeline_hazard,confidence,highlights,confidence_statement
Cariboos,2017-12-07T23:31:54+00:00,moderate,moderate,low,low,"<p class=""p_CC664AAA""><span class=""s_AA239A9B""> </span><span class=""s_6A269DDD"">Seek the shade for the best and safest riding.</span></p>",Due to the number of field observations
Northwest Coastal,2017-12-07T23:42:10+00:00,considerable,moderate,moderate,moderate,"<p class=""p_CC664AAA""><span class=""s_AA239A9B""> Cooling temperatures will help to stabilize the snowpack. New surface instabilities should be the main concern on Friday.</span></p>",
Northwest Inland,2017-12-07T23:37:51+00:00,moderate,moderate,moderate,moderate,"<p class=""p_CC664AAA""><span class=""s_E6FD2046"">Cooling temperatures should help to stabilize the snowpack, but our lingering persistent slab problem can't be dismissed.</span></p>",
Sea To Sky,2017-12-07T23:54:15+00:00,low,low,low,high,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Spring-like conditions should continue. Be cautious on steep slopes if the snow feels moist or wet.</span></p>",The weather pattern is stable
South Coast Inland,2017-12-07T23:00:00Z,low,low,low,high,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Stick to shady terrain. Wet loose avalanches are most likely on sun-exposed slopes.</span></p>",The weather pattern is stable
South Coast,2017-12-07T23:56:31+00:00,low,low,low,high,"<p class=""p_CC664AAA""><span class=""s_3FE45715"">Spring-like conditions should continue. Be cautious on steep slopes if the snow feels moist or wet.</span></p>",The weather pattern is stable
North Columbia,2017-12-07T23:54:09+00:00,moderate,moderate,low,moderate,"<p class=""p_CC664AAA""><span class=""s_AA239A9B""> </span><span class=""s_6A269DDD"">Seek the shade for the best and safest riding.</span></p>",Due to the number of field observations
South Columbia,2017-12-07T23:58:00+00:00,moderate,moderate,low,moderate,"<p class=""p_CC664AAA""><span class=""s_6A269DDD"">Seek the shade for the best and safest riding.</span></p>",Due to the number of field observations
Purcells,2017-12-07T23:43:52+00:00,moderate,moderate,low,moderate,"<p class=""p_CC664AAA""><span class=""s_6A269DDD"">Seek the shade for the best and safest riding.</span></p>",Due to the number of field observations
Kootenay Boundary,2017-12-07T23:22:17Z,moderate,low,low,high,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Stick to shady terrain. Wet loose avalanches are most likely on sun-exposed slopes.</span></p>",The weather pattern is stable
South Rockies,2017-12-07T23:44:02+00:00,moderate,moderate,low,moderate,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Spring weather doesn't mix well with an early season snowpack. Smaller surface instabilities will carry the risk of triggering deep weak layers while warm weather persists.</span></p>",
Lizard Range and Flathead,2017-12-07T23:45:24+00:00,moderate,moderate,low,moderate,"<p class=""p_CC664AAA""><span class=""s_AA239A9B""> Sunshine and warming are the critical factors for avalanche danger right now. Be aware of danger increasing in sync with solar radiation and temperature.</span></p>",
"Kananaskis Country, Alberta Parks",2017-12-06T23:00:00Z,considerable,considerable,moderate,high,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">We are facing another warm spell tomorrow through Saturday. Snow stability is directly related to temperature. The danger ratings may change drastically and with little notice if the forecast holds true. </span></p>",
location,date,alpine_hazard,treeline_hazard,below_treeline_hazard,confidence,highlights,confidence_statement
Cariboos,2017-12-07T23:31:54+00:00,moderate,moderate,low,low,"<p class=""p_CC664AAA""><span class=""s_AA239A9B""> </span><span class=""s_6A269DDD"">Seek the shade for the best and safest riding.</span></p>",Due to the number of field observations
Northwest Coastal,2017-12-08T23:38:20+00:00,considerable,moderate,low,moderate,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">The incoming storm is expected to deliver more snow (and greater avalanche danger) to coastal areas. Expect new snow to bond poorly with the surface.</span></p>",Forecast snowfall amounts are uncertain
Northwest Inland,2017-12-08T23:33:12+00:00,moderate,moderate,low,moderate,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Weaknesses deep in the snowpack will heal much more slowly than wind slabs. Keep your guard up around big overhead terrain and in thin snowpack areas in the alpine.</span></p>",Due to the number of field observations
Sea To Sky,2017-12-08T23:57:21+00:00,low,low,low,high,"<p class=""p_CC664AAA""><span class=""s_3FE45715"">Warm alpine air is the continuing trend. Be cautious on steep slopes if the snow feels moist or wet.</span></p>",The weather pattern is stable
South Coast Inland,2017-12-07T23:00:00Z,low,low,low,high,"<p class=""p_CC664AAA""><span class=""s_AA239A9B"">Stick to shady terrain. Wet loose avalanches are most likely on sun-exposed slopes.</span></p>",The weather pattern is stable
South Coast,2017-12-08T23:46:37+00:00,low,low,low,high,"<p class=""p_CC664AAA""><span class=""s_AA239A9B""> </span><span class=""s_3FE45715"">Warm air is the continuing trend. Be cautious on steep slopes if the snow feels moist or wet.</span></p>",The weather pattern is stable
North Columbia,2017-12-08T23:52:01+00:00,moderate,low,low,moderate,"<p class=""p_CC664AAA""><span class=""s_AA239A9B""> </span><span class=""s_6A269DDD"">Seek the shade for the best and safest riding.</span></p>",Timing or intensity of solar radiation is uncertain
South Columbia,2017-12-08T23:43:25+00:00,moderate,low,low,moderate,"<p class=""p_CC664AAA""><span class=""s_6A269DDD"">Seek the shade for the best and safest riding.</span></p>",Timing or intensity of solar radiation is uncertain
Purcells,2017-12-08T23:22:25+00:00,moderate,low,low,moderate,"<p class=""p_CC664AAA""><span class=""s_6A269DDD"">Seek the shade for the best and safest riding.</span></p>",Due to the number of field observations
